municipality,region,province,prosperity_index
Destelbergen,Région Flamande,Flandre Orientale,126.0
Wervik,Région Flamande,Flandre Occidentale,93.0
Puurs-Sint-Amands,Région Flamande,Antwerpen,118.0
Thuin,Région Wallonne,Hainaut,103.0
Westerlo,Région Flamande,Antwerpen,109.0
Braine-Le-Comte,Région Wallonne,Hainaut,100.0
Saint-Vith,Région Wallonne,Liège,103.0
Ottignies-Louvain-La-Neuve,Région Wallonne,Brabant Wallon,105.0
Sainte-Ode,Région Wallonne,Luxembourg,87.0
Putte,Région Flamande,Antwerpen,115.0
Ans,Région Wallonne,Liège,88.0
Scherpenheuvel-Zichem,Région Flamande,Brabant Flamand,109.0
Beerse,Région Flamande,Antwerpen,112.0
Durbuy,Région Wallonne,Luxembourg,92.0
Gembloux,Région Wallonne,Namur,110.0
Engis,Région Wallonne,Liège,86.0
Quiévrain,Région Wallonne,Hainaut,80.0
Wetteren,Région Flamande,Flandre Orientale,106.0
Brecht,Région Flamande,Antwerpen,115.0
Leopoldsburg,Région Flamande,Limbourg,96.0
Halen,Région Flamande,Limbourg,111.0
Asse,Région Flamande,Brabant Flamand,104.0
Duffel,Région Flamande,Antwerpen,114.0
Fosses-La-Ville,Région Wallonne,Namur,98.0
Lummen,Région Flamande,Limbourg,110.0
Sint-Lievens-Houtem,Région Flamande,Flandre Orientale,116.0
Sint-Gillis-Waas,Région Flamande,Flandre Orientale,113.0
Assenede,Région Flamande,Flandre Orientale,111.0
Nivelles,Région Wallonne,Brabant Wallon,113.0
Kuurne,Région Flamande,Flandre Occidentale,100.0
Berchem-Sainte-Agathe,Région De Bruxelles-Capitale,Région De Bruxelles-Capitale,82.0
Edegem,Région Flamande,Antwerpen,122.0
Essen,Région Flamande,Antwerpen,102.0
Rochefort,Région Wallonne,Namur,92.0
Verlaine,Région Wallonne,Liège,117.0
Schilde,Région Flamande,Antwerpen,138.0
Colfontaine,Région Wallonne,Hainaut,73.0
Heist-Op-Den-Berg,Région Flamande,Antwerpen,110.0
Kruisem,Région Flamande,Flandre Orientale,117.0
Oupeye,Région Wallonne,Liège,94.0
Biévène,Région Flamande,Brabant Flamand,111.0
Kortenaken,Région Flamande,Brabant Flamand,111.0
Harelbeke,Région Flamande,Flandre Occidentale,102.0
Modave,Région Wallonne,Liège,108.0
Soumagne,Région Wallonne,Liège,99.0
Brakel,Région Flamande,Flandre Orientale,110.0
Gistel,Région Flamande,Flandre Occidentale,104.0
Boom,Région Flamande,Antwerpen,93.0
Lasne,Région Wallonne,Brabant Wallon,140.0
Soignies,Région Wallonne,Hainaut,95.0
Merchtem,Région Flamande,Brabant Flamand,116.0
Beringen,Région Flamande,Limbourg,95.0
Bredene,Région Flamande,Flandre Occidentale,106.0
Court-Saint-Étienne,Région Wallonne,Brabant Wallon,109.0
Verviers,Région Wallonne,Liège,77.0
Mortsel,Région Flamande,Antwerpen,112.0
Oudenaarde,Région Flamande,Flandre Orientale,110.0
Morlanwelz,Région Wallonne,Hainaut,88.0
Hoegaarden,Région Flamande,Brabant Flamand,125.0
Neufchâteau,Région Wallonne,Luxembourg,94.0
Buggenhout,Région Flamande,Flandre Orientale,116.0
Châtelet,Région Wallonne,Hainaut,77.0
Tubize,Région Wallonne,Brabant Wallon,91.0
Genk,Région Flamande,Limbourg,92.0
Haaltert,Région Flamande,Flandre Orientale,113.0
Kinrooi,Région Flamande,Limbourg,95.0
Lierde,Région Flamande,Flandre Orientale,111.0
Ham-Sur-Heure-Nalinnes,Région Wallonne,Hainaut,119.0
Ath,Région Wallonne,Hainaut,102.0
Havelange,Région Wallonne,Namur,96.0
Hooglede,Région Flamande,Flandre Occidentale,103.0
Zoutleeuw,Région Flamande,Brabant Flamand,109.0
Ardooie,Région Flamande,Flandre Occidentale,102.0
Wommelgem,Région Flamande,Antwerpen,110.0
Courcelles,Région Wallonne,Hainaut,85.0
Schelle,Région Flamande,Antwerpen,113.0
Bocholt,Région Flamande,Limbourg,95.0
Clavier,Région Wallonne,Liège,105.0
Herenthout,Région Flamande,Antwerpen,105.0
Comines-Warneton,Région Wallonne,Hainaut,80.0
Chastre,Région Wallonne,Brabant Wallon,116.0
Habay,Région Wallonne,Luxembourg,111.0
Libin,Région Wallonne,Luxembourg,97.0
Lebbeke,Région Flamande,Flandre Orientale,108.0
Laakdal,Région Flamande,Antwerpen,108.0
Belœil,Région Wallonne,Hainaut,94.0
Remicourt,Région Wallonne,Liège,113.0
Meise,Région Flamande,Brabant Flamand,126.0
Zemst,Région Flamande,Brabant Flamand,130.0
Sambreville,Région Wallonne,Namur,88.0
Linter,Région Flamande,Brabant Flamand,113.0
Wielsbeke,Région Flamande,Flandre Occidentale,100.0
Bertem,Région Flamande,Brabant Flamand,130.0
Érezée,Région Wallonne,Luxembourg,96.0
Hoogstraten,Région Flamande,Antwerpen,100.0
Gingelom,Région Flamande,Limbourg,109.0
Sprimont,Région Wallonne,Liège,114.0
Malle,Région Flamande,Antwerpen,112.0
Mettet,Région Wallonne,Namur,101.0
Rhode-Saint-Genèse,Région Flamande,Brabant Flamand,131.0
Zelzate,Région Flamande,Flandre Orientale,95.0
Oostkamp,Région Flamande,Flandre Occidentale,112.0
Deerlijk,Région Flamande,Flandre Occidentale,106.0
Anzegem,Région Flamande,Flandre Occidentale,108.0
Auderghem,Région De Bruxelles-Capitale,Région De Bruxelles-Capitale,104.0
Waremme,Région Wallonne,Liège,104.0
Zwalm,Région Flamande,Flandre Orientale,116.0
Liedekerke,Région Flamande,Brabant Flamand,103.0
Grobbendonk,Région Flamande,Antwerpen,114.0
Dilsen-Stokkem,Région Flamande,Limbourg,95.0
Anderlues,Région Wallonne,Hainaut,85.0
Walcourt,Région Wallonne,Namur,102.0
Pont-À-Celles,Région Wallonne,Hainaut,107.0
Beauvechain,Région Wallonne,Brabant Wallon,119.0
Zele,Région Flamande,Flandre Orientale,99.0
Zedelgem,Région Flamande,Flandre Occidentale,110.0
Dalhem,Région Wallonne,Liège,110.0
Zonhoven,Région Flamande,Limbourg,109.0
Rebecq,Région Wallonne,Brabant Wallon,100.0
Anhée,Région Wallonne,Namur,97.0
Pecq,Région Wallonne,Hainaut,96.0
Evergem,Région Flamande,Flandre Orientale,113.0
Beersel,Région Flamande,Brabant Flamand,114.0
Kraainem,Région Flamande,Brabant Flamand,117.0
Andenne,Région Wallonne,Namur,94.0
Schoten,Région Flamande,Antwerpen,118.0
Grez-Doiceau,Région Wallonne,Brabant Wallon,123.0
Oud-Heverlee,Région Flamande,Brabant Flamand,143.0
Aubel,Région Wallonne,Liège,106.0
Musson,Région Wallonne,Luxembourg,101.0
Dilbeek,Région Flamande,Brabant Flamand,114.0
Kalmthout,Région Flamande,Antwerpen,118.0
Houffalize,Région Wallonne,Luxembourg,92.0
Linkebeek,Région Flamande,Brabant Flamand,122.0
Rixensart,Région Wallonne,Brabant Wallon,123.0
Virton,Région Wallonne,Luxembourg,95.0
Rumst,Région Flamande,Antwerpen,117.0
Kortenberg,Région Flamande,Brabant Flamand,124.0
Lommel,Région Flamande,Limbourg,100.0
Wevelgem,Région Flamande,Flandre Occidentale,103.0
Jurbise,Région Wallonne,Hainaut,109.0
Chaumont-Gistoux,Région Wallonne,Brabant Wallon,133.0
Saint-Hubert,Région Wallonne,Luxembourg,90.0
Antoing,Région Wallonne,Hainaut,89.0
Juprelle,Région Wallonne,Liège,107.0
Heusden-Zolder,Région Flamande,Limbourg,96.0
Stabroek,Région Flamande,Antwerpen,117.0
Keerbergen,Région Flamande,Brabant Flamand,147.0
